HCH_009_094_000001	夾谷清臣，本名阿不沙，胡里改路桓篤人也。
HCH_009_094_000002	姿狀雄偉，善騎射。
HCH_009_094_000003	皇統八年，襲祖駁達猛安。
HCH_009_094_000004	大定元年，聞世宗即位，率本部軍六千赴中都會之，以功遷昭武大將軍。
HCH_009_094_000005	從右副元帥紇石烈志甯為管押萬戶，接應左都監完顏思敬，逐窩斡餘黨，敗之柔遠，至抹拔里達悉獲之。
HCH_009_094_000006	賊平，遷鎮國上將軍，知潁順軍事。
HCH_009_094_000007	會宋兵二萬襲陷汝州，殺刺史烏古孫麻發及漢軍二千。
HCH_009_094_000008	河南統軍宗尹遣萬戶孛術魯定方與清臣等領騎兵四千往擊之。
HCH_009_094_000009	宋人棄城遁，遂複汝州。
HCH_009_094_000010	三年五月，從志寧複取宿州，宋將李世輔大敗遁去，志寧複遣清臣等以兵追襲，又敗之。
HCH_009_094_000011	捷聞，授宿州防禦使。
HCH_009_094_000012	移博州，改西北路招討都監，遷烏古十壘部族節度使。
HCH_009_094_000013	十二年，授右副都點檢，遷左副都點檢，出為陝西路統軍使，兼知京兆府事。
HCH_009_094_000014	朝辭，賜以金帶廄馬，仍諭之曰：「卿典禁兵，日侍左右，勤勞久矣，故以是授卿，宜益思勉。」
HCH_009_094_000015	二十六年，改西京留守。
HCH_009_094_000016	閱三歲，遷樞密副使。
HCH_009_094_000017	明昌元年，初議出師，以本職充東北路兵馬都統制使，既而詔止之。
HCH_009_094_000018	俄以其女為昭儀，眷倚益重。
HCH_009_094_000019	二年，拜尚書左丞。
HCH_009_094_000020	頃之，進平章政事，封芮國公，賜同本朝人。
HCH_009_094_000021	四年，遷右丞相，監修國史。
HCH_009_094_000022	時議簽軍戍邊，上問：「漢人與夏人孰勇？」
HCH_009_094_000023	清臣曰：「漢人勇。」
HCH_009_094_000024	上曰：「昔元昊擾邊，宋終不能制，何也？」
HCH_009_094_000025	清臣曰：「宋馭軍法不可得知，今西南路人殊勝彼也。」
HCH_009_094_000026	未幾，遷崇進，改封戴。
HCH_009_094_000027	一日，上謂宰臣曰：「人有以《八陣圖》來上者，其圖果何如？朕嘗觀宋白所集《武經》，然其載攻守之法亦多難行。」
