HCH_011_014_000001	江淹，字文通，濟陽考城人也。
HCH_011_014_000002	少孤貧好學，沉靜少交遊。
HCH_011_014_000003	起家南徐州從事，轉奉朝請。
HCH_011_014_000004	宋建平王景素好士，淹隨景素在南兗州。
HCH_011_014_000005	廣陵令郭彥文得罪，辭連淹，繫州獄。
HCH_011_014_000006	淹獄中上書曰：景素覽書，卽日出之。
HCH_011_014_000007	尋舉南徐州秀才，對策上第，轉巴陵王國左常侍。
HCH_011_014_000008	景素爲荊州，淹從之鎮。
HCH_011_014_000009	少帝卽位，多失德。
HCH_011_014_000010	景素專據上流，咸勸因此舉事。
HCH_011_014_000011	淹每從容諫曰：「流言納禍，二叔所以同亡；抵局銜怨，七國於焉俱斃。殿下不求宗廟之安，而信左右之計，則復見麋鹿霜露棲於姑蘇之臺矣。」
HCH_011_014_000012	景素不納。
HCH_011_014_000013	及鎮京口，淹又爲鎮軍參軍事，領南東海郡丞。
HCH_011_014_000014	景素與腹心日夜謀議，淹知禍機將發，乃贈詩十五首以諷焉。
HCH_011_014_000015	會南東海太守陸澄丁艱，淹自謂郡丞應行郡事，景素用司馬柳世隆。
HCH_011_014_000016	淹固求之，景素大怒，言於選部，黜爲建安吳興令。
HCH_011_014_000017	淹在縣三年。
HCH_011_014_000018	昇明初，齊帝輔政，聞其才，召爲尚書駕部郎、驃騎參軍事。
HCH_011_014_000019	俄而荊州刺史沈攸之作亂，高帝謂淹曰：「天下紛紛若是，君謂何如？」
HCH_011_014_000020	淹對曰：「昔項強而劉弱，袁衆而曹寡，羽號令諸侯，卒受一劍之辱，紹跨躡四州，終爲奔北之虜。此謂『在德不在鼎』。公何疑哉？」
HCH_011_014_000021	帝曰：「聞此言者多矣，試爲慮之。」
HCH_011_014_000022	淹曰：「公雄武有奇略，一勝也；寬容而仁恕，二勝也；賢能畢力，三勝也；民望所歸，四勝也；奉天子而伐叛逆，五勝也。彼志銳而器小，一敗也；有威而無恩，二敗也；士卒解體，三敗也；搢紳不懷，四敗也；懸兵數千里，而無同惡相濟，五敗也。故雖豺狼十萬，而終爲我獲焉。」
HCH_011_014_000023	帝笑曰：「君談過矣。」
HCH_011_014_000024	是時軍書表記，皆使淹具草。
HCH_011_014_000025	相國建，補記室參軍事。
HCH_011_014_000026	建元初，又爲驃騎豫章王記室，帶東武令，參掌詔册，並典國史。
HCH_011_014_000027	尋遷中書侍郎。
HCH_011_014_000028	永明初，遷驍騎將軍，掌國史。
HCH_011_014_000029	出爲建武將軍、廬陵內史。
HCH_011_014_000030	視事三年，還爲驍騎將軍，兼尚書左丞，尋復以本官領國子博士。
HCH_011_014_000031	少帝初，以本官兼御史中丞。
HCH_011_014_000032	時明帝作相，因謂淹曰：「君昔在尚書中，非公事不妄行，在官寬猛能折衷；今爲南司，足以震肅百僚。」
HCH_011_014_000033	淹答曰：「今日之事，可謂當官而行，更恐才劣志薄，不足以仰稱明旨耳。」
HCH_011_014_000034	於是彈中書令謝朏，司徒左長史王繢、護軍長史庾弘遠，並以久疾不預山陵公事；又奏前益州刺史劉悛、梁州刺史陰智伯，並贓貨巨萬，輒收付廷尉治罪。
HCH_011_014_000035	臨海太守沈昭略、永嘉太守庾曇隆，及諸郡二千石幷大縣官長，多被劾治，內外肅然。
HCH_011_014_000036	明帝謂淹曰：「宋世以來，不復有嚴明中丞，君今日可謂近世獨步。」
HCH_011_014_000037	明帝卽位，爲車騎臨海王長史。
HCH_011_014_000038	俄除廷尉卿，加給事中，遷冠軍長史，加輔國將軍。
HCH_011_014_000039	出爲宣城太守，將軍如故。
HCH_011_014_000040	在郡四年，還爲黃門侍郎、領步兵校尉，尋爲秘書監。
HCH_011_014_000041	永元中，崔慧景舉兵圍京城，衣冠悉投名刺，淹稱疾不往。
HCH_011_014_000042	及事平，世服其先見。
HCH_011_014_000043	東昏末，淹以秘書監兼衛尉，固辭不獲免，遂親職。
HCH_011_014_000044	謂人曰：「此非吾任，路人所知，正取吾空名耳。且天時人事，尋當飜覆。孔子曰：「有文事者必有武備。』臨事圖之，何憂之有？」頃之，又副領軍王瑩。及義師至新林，淹微服來奔，高祖板爲冠軍將軍，秘書監如故，尋兼司徒左長史。中興元年，遷吏部尚書。二年，轉相國右長史，冠軍將軍如故。天監元年，爲散騎常侍、左衛將軍，封臨沮縣開國伯，食邑四百戶。淹乃謂子弟曰：「吾本素宦，不求富貴，今之忝竊，遂至於此。平生言止足之事，亦以備矣。人生行樂耳，須富貴何時。吾功名旣立，正欲歸身草萊耳。」其年，以疾遷金紫光祿大夫，改封醴陵侯。四年卒，時年六十二。高祖爲素服舉哀。賻錢三萬，布五十匹。諡曰憲伯。淹少以文章顯，晚節才思微退，時人皆謂之才盡。凡所著述百餘篇，自撰爲前後集，幷《齊史》十志，並行於世。子蒍襲封嗣，自丹陽尹丞爲長城令，有罪削爵。普通四年，高祖追念淹功，復封蒍吳昌伯，邑如先。任昉，字彥昇，樂安博昌人，漢御史大夫敖之後也。父遙，齊中散大夫。遙妻裴氏，嘗晝寢，夢有彩旗蓋四角懸鈴，自天而墜，其一鈴落入裴懷中，心悸動，旣而有娠，生昉。身長七尺五寸。幼而好學，早知名。宋丹陽尹劉秉辟爲主簿。時昉年十六，以氣忤秉子。久之，爲奉朝請，
HCH_011_014_000045	舉兗州秀才，拜太常博士，遷征北行參軍。
HCH_011_014_000046	永明初，衛將軍王儉領丹陽尹，復引爲主簿。
HCH_011_014_000047	儉雅欽重昉，以爲當時無輩。
HCH_011_014_000048	遷司徒刑獄參軍事，入爲尚書殿中郎，轉司徒竟陵王記室參軍，以父憂去職。
HCH_011_014_000049	性至孝，居喪盡禮。
HCH_011_014_000050	服闋，續遭母憂，常廬于墓側，哭泣之地，草爲不生。
HCH_011_014_000051	服除，拜太子步兵校尉、管東宮書記。
HCH_011_014_000052	初，齊明帝旣廢郁林王，始爲侍中、中書監、驃騎大將軍、開府儀同三司、揚州刺史、錄尚書事，封宣城郡公，加兵五千，使昉具表草。
HCH_011_014_000053	其辭曰：「臣本庸才，智力淺短。太祖高皇帝篤猶子之愛，降家人之慈；世祖武皇帝情等布衣，寄深同氣。武皇大漸，實奉詔言。雖自見之明，庸近所蔽，愚夫一至，偶識量己，實不忍自固於綴衣之辰，拒違於玉幾之側，遂荷顧托，導揚末命。雖嗣君棄常，獲罪宣德，王室不造，職臣之由。何者？親則東牟，任惟博陸，徒懷子孟社稷之對，何救昌邑爭臣之譏。四海之議，於何逃責？陵土未乾，訓誓在耳，家國之事，一至於斯，非臣之尤，誰任其咎！將何以肅拜高寢，虔奉武園？悼心失圖，泣血待旦。寧容復徼榮於家恥，宴安於國危。驃騎上將之元勳，神州儀刑之列岳，尚書是稱司會，中書實管王言。且虛飾寵章，委成禦侮，臣知不愜，物誰謂宜。但命輕鴻毛，責重山岳，存沒同歸，毀譽一貫。辭一官不減身累，增一職已黷朝經。便當自同體國，不爲飾讓。至於功均一匡，賞同千室，光宅近甸，奄有全邦，殞越爲期，不敢聞命，亦願曲留降鑒，卽垂聽許。鉅平之懇誠必固，永昌之丹慊獲申，乃知君臣之道，綽有餘裕，苟曰易昭，敢守難奪。」
HCH_011_014_000054	帝惡其辭斥，甚慍，昉由是終建武中，位不過列校。
HCH_011_014_000055	昉雅善屬文，尤長載筆，才思無窮，當世王公表奏，莫不請焉。
HCH_011_014_000056	昉起草卽成，不加點竄。
HCH_011_014_000057	沈約一代詞宗，深所推挹。
HCH_011_014_000058	明帝崩，遷中書侍郎。
HCH_011_014_000059	永元末，爲司徒右長史。
HCH_011_014_000060	高祖克京邑，霸府初開，以昉爲驃騎記室參軍。
HCH_011_014_000061	始高祖與昉遇竟陵王西邸，從容謂昉曰：「我登三府，當以卿爲記室。」
HCH_011_014_000062	昉亦戲高祖曰：「我若登三事，當以卿爲騎兵。」
HCH_011_014_000063	謂高祖善騎也。
HCH_011_014_000064	至是故引昉，符昔言焉。
HCH_011_014_000065	昉奉牋曰：「伏承以今月令辰，肅膺典策，德顯功高，光副四海，含生之倫，庇身有地；況昉受教君子，將二十年，咳唾爲恩，眄睞成飾，小人懷惠，顧知死所。昔承清宴，屬有緒言，提挈之旨，形乎善謔，豈謂多幸，斯言不渝。雖情謬先覺，而迹淪驕餌，湯沐具而非弔，大廈構而相驩。明公道冠二儀，勳超邃古，將使伊周奉轡，桓文扶轂，神功無紀，化物何稱。府朝初建，俊賢驤首，惟此魚目，唐突璵璠。顧己循涯，𢉴知塵忝，千載一逢，再造難答。雖則殞越，且知非報。」
HCH_011_014_000066	梁臺建，禪讓文誥，多昉所具。
HCH_011_014_000067	高祖踐阼，拜黃門侍郎，遷吏部郎中，尋以本官掌著作。
HCH_011_014_000068	天監二年，出爲義興太守。
HCH_011_014_000069	在任清潔，兒妾食麥而已。
HCH_011_014_000070	友人彭城到溉，溉弟洽，從昉共爲山澤遊。
HCH_011_014_000071	及被代登舟，止有米五斛。
HCH_011_014_000072	旣至無衣，鎮軍將軍沈約遣裙衫迎之。
HCH_011_014_000073	重除吏部郎中，參掌大選，居職不稱。
HCH_011_014_000074	尋轉御史中丞，秘書監，領前軍將軍。
HCH_011_014_000075	自齊永元以來，秘閣四部，篇卷紛雜，昉手自讎校，由是篇目定焉。
HCH_011_014_000076	六年春，出爲寧朔將軍、新安太守。
HCH_011_014_000077	在郡不事邊幅，率然曳杖，徒行邑郭，民通辭訟者，就路決焉。
HCH_011_014_000078	爲政清省，吏民便之。
HCH_011_014_000079	視事朞歲，卒於官舍，時年四十九。
HCH_011_014_000080	闔境痛惜，百姓共立祠堂於城南。
HCH_011_014_000081	高祖聞問，卽日舉哀，哭之甚慟。
HCH_011_014_000082	追贈太常卿，諡曰敬子。
HCH_011_014_000083	昉好交結，獎進士友，得其延譽者，率多升擢，故衣冠貴遊，莫不爭與交好，坐上賓客，恒有數十。
HCH_011_014_000084	時人慕之，號曰任君，言如漢之三君也。
HCH_011_014_000085	陳郡殷芸與建安太守到溉書曰：「哲人云亡，儀表長謝。元龜何寄？指南誰託？」
HCH_011_014_000086	其爲士友所推如此。
HCH_011_014_000087	昉不治生產，至乃居無室宅。
HCH_011_014_000088	世或譏其多乞貸，亦隨復散之親故。
HCH_011_014_000089	昉常歎曰：「知我亦以叔則，不知我亦以叔則。」
HCH_011_014_000090	昉墳籍無所不見，家雖貧，聚書至萬餘卷，率多異本。
HCH_011_014_000091	昉卒後，高祖使學士賀縱共沈約勘其書目，官所無者，就昉家取之。
HCH_011_014_000092	昉所著文章數十萬言，盛行於世。
HCH_011_014_000093	初，昉立於士大夫間，多所汲引，有善己者則厚其聲名。
HCH_011_014_000094	及卒，諸子皆幼，人罕贍卹之。
HCH_011_014_000095	平原劉孝標爲著論曰：昉撰《雜傳》二百四十七卷，《地記》二百五十二卷，文章三十三卷。
HCH_011_014_000096	昉第四子東里，頗有父風，官至尚書外兵郎。
HCH_011_014_000097	陳吏部尚書姚察曰：觀夫二漢求賢，率先經術；近世取人，多由文史。
HCH_011_014_000098	二子之作，辭藻壯麗，允值其時。
HCH_011_014_000099	淹能沉靜，昉持內行，並以名位終始，宜哉。
HCH_011_014_000100	江非先覺，任無舊恩，則上秩顯贈，亦末由也已。
HCH_011_014_000101	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
