HCH_012_038_000001	日五星中心行度立成造法原本總年零年月分日期，及十二宮初日，凡五立成。
HCH_012_038_000002	每立成內，首列本信立成處月日宮各紀數，次刑七曜，次刑日中心行度，及土、木、火、金、水各自行度日五星最高行度，交多不祿。
HCH_012_038_000003	祿其造立成之法於左。
HCH_012_038_000004	日中心行長日期立成一日行五十九分八秒，按日累加之，小月二十九日，得二十八度三十五分二秒，大月三十日，得二十九度三十四分一十秒。
HCH_012_038_000005	月分立成。
HCH_012_038_000006	單月大，變月小，末置一閏日。
HCH_012_038_000007	大月，二十妨度三十四分十秒。
HCH_012_038_000008	小月二十八度三十五分二秒。
HCH_012_038_000009	按月累加之，十二月計十一宮十八度五十五分九秒，閏日加五十九分八秒。
HCH_012_038_000010	宮分初日立成。
HCH_012_038_000011	於白羊宮初日起算，至金牛宮初日，凡三十一日，得一宮一度三十三分十八秒。
HCH_012_038_000012	五十九分八秒之積。
HCH_012_038_000013	視宮分日數多少，日數見前。
HCH_012_038_000014	累加積之，至變魚宮初日，得十一宮一度十一秒。
HCH_012_038_000015	自白羊至此凡三百三十五日之積。
HCH_012_038_000016	零年立成。
HCH_012_038_000017	每年十一宮十八度五十五分九秒，三十年閏十一日，故二年、五年、七年、十年、十三年、十六年、十八年、二十一年、二十四年、二十六年、二十九年、皆閏日。
HCH_012_038_000018	約法，每一年減十一度四分五十一秒，閏年減十度五分四十三秒，三十年爲一宮八度二十玢三十一秒。
HCH_012_038_000019	每年三百五十四日，計一萬六百二十日，加閏十一日，共一萬六百三十一日。
HCH_012_038_000020	總年立成。
HCH_012_038_000021	第一年爲三宮二十六度五分十九秒。
HCH_012_038_000022	每三十年加一宮八度二十五分三十一秒，至一千四百罩十年，得五宮十五分三十三秒。
HCH_012_038_000023	土星日期立成一日五十七分，按日遞加。
HCH_012_038_000024	小月二十七度三十七分，大月二十八度三十四分。
HCH_012_038_000025	其五日、十二日、二十日、二十八日增一分者，乃秒數所積也。
HCH_012_038_000026	月分立成。
HCH_012_038_000027	大月加二十八度三十四分，小月加二十七度三十革分。
HCH_012_038_000028	按月累加，十二月計十一宮七度四分，閏日加五十七分。
HCH_012_038_000029	宮分初日立成。
HCH_012_038_000030	金牛宮初日爲二十九度三十一分，自行三十一日之積。
HCH_012_038_000031	餘四星准此。
HCH_012_038_000032	視宮分日數累加之，至變魚宮祿日爲十宮十八度五十八分。
HCH_012_038_000033	零年立成。
HCH_012_038_000034	每年十一宮七度四分，其閏日有無，視日中行度，零年有加本星一日行分，下四星准此。
HCH_012_038_000035	至三十年，共一宮十二度一十六分。
HCH_012_038_000036	總年立成。
HCH_012_038_000037	第一年十一宮二十九十度十八分，此隋己未測定根數，一雲即洪武甲子年數，加次在內。
HCH_012_038_000038	下四星准此。
HCH_012_038_000039	六百年四宮四度四十四分。
HCH_012_038_000040	每三十年加一宮十二度二十七分，至一千四百四十年，計七宮十八度二十分。
HCH_012_038_000041	木星日期立成一日五十四分，按日遞加。
HCH_012_038_000042	小月二十六度十分，大月二十七度五分。
HCH_012_038_000043	其四日、十一日、十七日、二十四日、三十日增一分者，秒數所積也。
HCH_012_038_000044	月分立成按大、小月累加，十二月計十宮十九度二十九分，閏日加五十四分。
HCH_012_038_000045	宮分初日立成金牛宮初日二十七度五十九分，至變魚宮初日爲十宮二十九度二十六分。
HCH_012_038_000046	零年立成每年十宮十九度，至三十年，計七宮二十四度三十九分。
HCH_012_038_000047	總年立成第一年四宮二十五度十九分，六百年五宮八度二十七分。
HCH_012_038_000048	每三十年加七宮二四三九，至千四百四十年，計八呂八度五十分。
HCH_012_038_000049	火星日期立成一日二十八分，按日遞加。
HCH_012_038_000050	小月十三度二十三分，大月十三度五十一分。
HCH_012_038_000051	其二日、五日、九日、十二日、十五日、十八日、二十二日、二十五日、二十八日各減一分。
HCH_012_038_000052	月分立成按大小月累加，十二月計五宮十三度二十四分，閏日加二十八分。
HCH_012_038_000053	宮分初日立成金牛宮初日十四度九分，至變魚宮初日五宮十八度二十九分。
HCH_012_038_000054	零年立成每年五宮十三度二十四分，至三十年，計七宮十七度一分。
HCH_012_038_000055	總年立成第一年八宮三十四度六分，六百年四宮四工三十三分。
HCH_012_038_000056	每三十年加七宮度一分，至一千四百四十年，計一度一十一分。
HCH_012_038_000057	金星日期立成一日三十七分，按日遞加。
HCH_012_038_000058	小月十七度五十三分，大月十八度三十分。
HCH_012_038_000059	月分立成按大小月累加，十二月計七宮八度十五分，閏日加三十七分。
HCH_012_038_000060	宮分初日立成金牛宮初日十九度七分，至變魚宮初日七宮十五度二分。
HCH_012_038_000061	零年立成每年七宮八度十五分，至三十年，計二宮十四度十五分。
HCH_012_038_000062	總年立成第一年一宮十五度二十九分，六百年三宮零三十四分。
HCH_012_038_000063	每三十年加二宮十四度十五分，一百四十年，計九度五十一分。
HCH_012_038_000064	水星日期立成一日三度六分，按日遞加。
HCH_012_038_000065	小月三宮初度六分，大月三宮三度十二分。
HCH_012_038_000066	其二日、四日、七日、九日、十二日、十四日、十七日、十九日、二十二日、二十四日、二十七日、二十九日各增一分。
HCH_012_038_000067	月分立成按大小月累加，十二月計初宮十九度四十七分，閏月加三度六分。
HCH_012_038_000068	宮分初日立成金牛宮初日三宮六度十九分，至變魚宮初日十宮二十度四十五分。
HCH_012_038_000069	零年立成每年初宮十九度四十七分，至三十年，計八宮二十七度四十四分。
HCH_012_038_000070	總年立成第一年二宮二十五度三十四分，六百年一宮十度九分。
HCH_012_038_000071	每三十年加八宮二十七度四十四分，至一千四百四十年，計十一宮六度三十五分。
HCH_012_038_000072	▲日五星最高行度立成造法日五星同用。
HCH_012_038_000073	最高行日分立成。
HCH_012_038_000074	一日一十微，按日遞加。
HCH_012_038_000075	其四日、十一日、十八日、二十五日。
HCH_012_038_000076	各減一微，大月四秒五十六微，小月四秒四十六微。
HCH_012_038_000077	月分立成按大小月累加，十二月計五十八秒一十微。
HCH_012_038_000078	有閏日加十微。
HCH_012_038_000079	宮分初日立成金牛宮初日五秒六微，至變魚宮初日五十五秒五微。
HCH_012_038_000080	零年言成每年五十八秒，去二十微。
HCH_012_038_000081	按年遞加，三年積六十微加一秒，三十年計二十九分十秒。
HCH_012_038_000082	總年立成一年初宮十度四十分二十八秒，洪武甲子加次。
HCH_012_038_000083	六百年五十八分十三秒。
HCH_012_038_000084	每三十年加二十九分七秒，一千四百四十年，計十二度三十六分五十五秒。
HCH_012_038_000085	日期立成。
HCH_012_038_000086	中心行度，一日十三度十一分，按日累加。
HCH_012_038_000087	大月一宮五度十七分，小月初宮二十二度工分。
HCH_012_038_000088	內二日、四日、六日、九日、十一、十四、十六、十八、二十一、二十三、二十六、二十八、三十日。
HCH_012_038_000089	各減一分，共減十三分。
HCH_012_038_000090	加倍相離度，一日二十四度二十三分，按日遞加。
HCH_012_038_000091	大月初宮十一度二十七分，小月十一宮十七度四分。
HCH_012_038_000092	內五日、十四日、二十三日，各減一分。
HCH_012_038_000093	七輪行度，一日十三度四分，按日遞加。
HCH_012_038_000094	大月一宮一度五十七分，小月十八度五十三分。
HCH_012_038_000095	其中逢五，皆減一分。
HCH_012_038_000096	羅計中心行度，一日三分，按日遞加。
HCH_012_038_000097	大月一度三十五分，小月一度三十二分。
HCH_012_038_000098	內三日、九日、十五、二十、二十六日，各增一分。
HCH_012_038_000099	月分立成。
HCH_012_038_000100	中心行度，大月一宮五度十七分，小月二十二度七分，按月加之，十二月計十一宮十四度二十七分。
HCH_012_038_000101	內三月、七月、十一月，各增一分。
HCH_012_038_000102	有閏日，加十三度十一分。
HCH_012_038_000103	加倍相離度，大月十一度二十七分，小月一宮十牙度四分，十二月計十一宮二十一度三分。
HCH_012_038_000104	內二、六、十月，各減一分。
HCH_012_038_000105	有閏日，加二十四度二十三分。
HCH_012_038_000106	本輪行度，大月一宮一度五十七分，小月十八度五十三分，十二月計十宮五度零分。
HCH_012_038_000107	有閏日，加十三行度四分。
HCH_012_038_000108	羅計行度，大月一度三十五分，小月一度三十二分，十二月十八度四十五分。
HCH_012_038_000109	內三、七、十一月，各增一分。
HCH_012_038_000110	有閏日，加三分。
HCH_012_038_000111	協零年立成。
HCH_012_038_000112	中心行度，每年十一宮十四度二十七分，三十年一宮八度十五分。
HCH_012_038_000113	三十年閏十一日，與太陽零年同。
HCH_012_038_000114	下准此。
HCH_012_038_000115	銳離度，每年十一宮二十一度三分，三十年十一宮二十九度四十分。
HCH_012_038_000116	閏日，加二十四度二十三分。
HCH_012_038_000117	本輪行度，每年十宮五度，三十年九宮二十三度四十七分。
HCH_012_038_000118	閏日，加十三度四分。
HCH_012_038_000119	羅計行度，每年十八度四十五分，三十年六宮二十二度五十八分。
HCH_012_038_000120	閏日，加三分。
HCH_012_038_000121	總年立成。
HCH_012_038_000122	中心行度，第一年四宮二十八度四十九分，六百年六宮八度四十二分，每三十加一宮八度十五分，一千四百四十年，五宮二十九度四十七分。
HCH_012_038_000123	倍離度，第一年，一宮二十五度二十八分，六百年一宮十八度三十三分。
HCH_012_038_000124	每三十年加十一宮二直九度四十分，一千四百四十年，一宮九度二十一分。
HCH_012_038_000125	本輪行度，第一年，四宮十二度二分，六百年八宮八度分。
HCH_012_038_000126	每三十年加二十三度六分，六百年十一宮十度三十四分。
HCH_012_038_000127	每三十年加六宮二十二度五十八分，一千寂百四十年，八宮十五度五十分。
HCH_012_038_000128	總年立成，第一年起金六，六百年起日一，每三十年加寺數。
HCH_012_038_000129	零年立成，起水四。
HCH_012_038_000130	宮分立成，金牛宮起火三。
HCH_012_038_000131	月分立成，起月二。
HCH_012_038_000132	日期立成，起日一。
HCH_012_038_000133	求法：有閏日，滿歲七曜。
HCH_012_038_000134	不滿歲，用月七曜。
HCH_012_038_000135	並之，得逐月末日七曜。
HCH_012_038_000136	太陽加減立成自行宮度爲引數。
HCH_012_038_000137	原本宮縱列首行，度橫列上行，每三宮順布三十度，內列加減差，又列加減分。
HCH_012_038_000138	其加減分，乃本度加減差與次度加減差之較也。
HCH_012_038_000139	今去之，止列加減差數，將引數宮列上橫行，度列首直行，用順逆查之，得數無異，而簡捷過之。
HCH_012_038_000140	月、五星加減立成，准此。
