HCH_013_011_000001	元順帝至正十五年春，徐壽輝將明玉珍據成都。
HCH_013_011_000002	玉珍，隨州人，世農家。
HCH_013_011_000003	身長八尺，目重瞳，以信義為鄉黨所服。
HCH_013_011_000004	初聞徐壽輝兵起，集鄉兵屯于青山，結柵自固。
HCH_013_011_000005	未幾，降于壽輝，授元帥，隸倪文俊麾下，鎮沔陽。
HCH_013_011_000006	與元將哈林禿戰湖中，飛矢中右目，微眇。
HCH_013_011_000007	十四年，以兵千人，槳斗船五十，溯夔而上。
HCH_013_011_000008	時青巾盜李喜喜聚兵苦蜀，元義兵元帥楊漢以兵五千禦之，屯平西。
HCH_013_011_000009	右丞相完者都鎮重慶，置酒飲漢，欲殺之。
HCH_013_011_000010	漢覺，脫身走，順流下巫峽，遇玉珍，訟之，且言重慶可取狀。
HCH_013_011_000011	玉珍未決，萬戶戴壽曰：「攻重慶，事濟據蜀，不濟歸，無損也。」
HCH_013_011_000012	從之。
HCH_013_011_000013	遂進克其城，完者都遁，父老迎入城。
HCH_013_011_000014	玉珍禁侵掠，市肆晏然，降者相繼。
HCH_013_011_000015	十八年，完者都自果州來攻重慶，屯嘉定之大佛寺，明玉珍使明三禦之。
HCH_013_011_000016	明三，黃陂人，驍勇善戰，玉珍弟畜之，後復姓名曰萬勝。
HCH_013_011_000017	又密遣猛士夜眼陳劫烏斗山寨，擣嘉定，皆下之，惟大佛寺未下。
HCH_013_011_000018	玉珍親濟師，旬日城潰，完者都、參政趙資、平章郎歹革皆死之，人稱「三忠」。
HCH_013_011_000019	道出瀘州，自訪元進士劉禎，喜曰：「吾得一孔明也。」
HCH_013_011_000020	二十一年，明玉珍稱隴蜀王。
HCH_013_011_000021	初，玉珍謀討陳友諒，乃整兵守夔關，不與通，復立廟以祀徐壽輝。
HCH_013_011_000022	至是，遂自稱隴蜀王。
HCH_013_011_000023	二十二年春三月，明玉珍僭稱帝于蜀，國號大夏，改元天統。
HCH_013_011_000024	倣周制設六卿，又置翰林院承旨學士、國子監等官，賦稅十取其一，開廷試，置雅樂供郊祀之祭，皆劉禎為也。
HCH_013_011_000025	二十三年，明玉珍遣萬勝等三道攻雲南，梁王孛羅走金馬山，勝入城據之。
HCH_013_011_000026	孛羅復集眾來攻，勝敗于關灘，引還。
HCH_013_011_000027	二十四年，萬勝攻興元，敗還。
HCH_013_011_000028	鄒興克巴州。
HCH_013_011_000029	二十五年九月，夏主明玉珍以萬勝、戴壽為左、右丞相。
HCH_013_011_000030	遣參政江儼來通好，命都事孫養浩報之。
HCH_013_011_000031	是年，萬勝取興元。
HCH_013_011_000032	二十六年春三月，夏主明玉珍卒，年三十六。
HCH_013_011_000033	玉珍頗節儉，好文學，蜀人安之。
HCH_013_011_000034	子昇嗣。
HCH_013_011_000035	昇年始十歲，母彭氏同聽政，改元開熙。
HCH_013_011_000036	其都察院張文炳用事，忌萬勝，使玉珍義子明昭矯彭氏旨殺之。
HCH_013_011_000037	勝，夏驍將也，兵無不一當百。
HCH_013_011_000038	勝死，夏以不競。
HCH_013_011_000039	劉禎代為丞相。
HCH_013_011_000040	吳友仁移檄興兵，昇命戴壽討之。
HCH_013_011_000041	友仁曰：「不誅昭，國必不安。昭若朝誅，吾當夕解。」
HCH_013_011_000042	壽乃奏誅昭。
HCH_013_011_000043	友仁入朝謝罪，不問。
HCH_013_011_000044	九月己亥，夏主明昇遣使來聘，使者自言：「其國東有瞿塘三峽之險，北有劍閣棧道之阻，古人謂『一夫守之，百人莫過』。而西控成都，沃壤千里，財富利饒，實天府之國。」
HCH_013_011_000045	太祖笑曰：「蜀人不以修德保民為本，而恃山川之險，誇其富饒，此豈自天而降耶！」
HCH_013_011_000046	使者退，太祖因語侍臣曰：「吾平日為事，只要務實，不尚浮偽。此人不能稱述其主之善，而但誇其國險，固失奉使之職矣。吾常遣使四方，戒其謹于言語，勿為誇大，恐遺笑于人。如蜀使者之謬妄，當以為戒也。」
HCH_013_011_000047	遣參知政事蔡哲往報蜀。
HCH_013_011_000048	哲挾畫工同往，圖其山川險易以獻。
HCH_013_011_000049	太祖覽而嘉之，遂為取道伐蜀之張本。
HCH_013_011_000050	太祖洪武元年冬十二月，遣使以書諭夏主明昇。
HCH_013_011_000051	二年秋八月，夏主明昇遣使來貢。
HCH_013_011_000052	王師平關陝，蜀人震恐。
HCH_013_011_000053	戴壽謂昇曰：「大明天子遣將用兵，所向無敵，以王保保、李思齊強盛，竟莫能禦，況吾蜀乎！倘一旦有警，計將安出？」
HCH_013_011_000054	吳友仁曰：「蜀地非中原比，設有緩急，據險可守。為今之計，莫若外假交好以緩敵，內修武事以自強。」
HCH_013_011_000055	昇從其言，遣使修貢。
HCH_013_011_000056	上賜璽書答之，曰：「朕歷觀古有蜀者，如公孫述、李特、王建、孟知祥輩，皆能乘機進取，而善守之道未聞，今足下必圖所以善守可也。朕連年出師，所向克捷，皆諸將用命，故能成功。遠勞致禮，益見厚意，因使者還，姑以此復。」
HCH_013_011_000057	冬十月壬戌，遣平章楊璟諭明昇奉國入覲。
HCH_013_011_000058	昇牽于羣議不能決。
HCH_013_011_000059	璟將還，復以書曉之，曰：「古者同力度德，同德度義。無可度焉，則為順圖。足下自謂瞿塘、劍閣，一夫負戈，萬卒誰何，此皆不達時變相謬誤。足下自度，孰與劉備、諸葛孔明，然僅僅能自保。足下疆埸，南不過播州，北不過興元。王師一至，所為足下謀者，各自為計，足下奉老母安歸乎？足下即沖幼，當亦痛心老母。順逆之圖，度之而已。」
HCH_013_011_000060	昇不能從。
HCH_013_011_000061	三年夏五月，大將軍徐達既出安定，走王保保，乃遣左副將軍鄧愈招撫土番，而自帥所部攻興元。
HCH_013_011_000062	以傅友德為前鋒，自秦州南出一百八渡至略陽，擒故元平章蔡琳，遂入沔州。
HCH_013_011_000063	分遣裨將金興旺等由鳳翔入連雲棧，合攻興元。
HCH_013_011_000064	興元守將劉思忠、知院金慶祥迎降。
HCH_013_011_000065	留金興旺、張龍守之，達還軍西安。
HCH_013_011_000066	秋七月，蜀將吳友仁寇興元，守將金興旺、張龍出兵擊却之。
HCH_013_011_000067	明日，友仁復來攻，興旺與戰，面中流矢，拔矢再戰，斬首數百。
HCH_013_011_000068	時城中守兵纔三千，友仁兵三萬，興旺以眾寡不敵，歛兵入城，遣使間道走寶鷄請援兵。
HCH_013_011_000069	友仁圍城，決濠填塹，攻益急。
HCH_013_011_000070	興旺嬰城拒守，發巨砲擂石，敵兵多死傷。
HCH_013_011_000071	時徐達在西安得報，即帥師還屯益門鎮。
HCH_013_011_000072	先遣傅友德領兵三千，徑趨黑龍江，夜襲木槽關，攻斗山砦。
HCH_013_011_000073	友德令軍中人持十炬燃于山上，友仁軍望見大驚，乘夜遁。
HCH_013_011_000074	四年春正月丁亥，上親祀上下神祇，告伐明昇。
HCH_013_011_000075	命中山侯湯和為征西將軍，江夏侯周德興為左副將軍，德慶侯廖永忠為右副將軍，滎陽侯楊璟、都督僉事葉昇等率京衛、荊、湘舟師，由瞿塘趨重慶，潁川侯傅友德為前將軍，濟寧侯顧時為左副將軍，都督僉事何文輝等率河南、陝西步騎，由秦、隴趨成都。
