HCH_012_318_000001	太平，漢屬交阯，號麗江。
HCH_012_318_000002	唐為羈縻州，隸邕州都督府。
HCH_012_318_000003	宋平嶺南，於左、右二江溪峒立五寨。
HCH_012_318_000004	其一曰太平，與古萬、遷隆、永平、橫山四寨各領州、縣、峒，屬邕州建武軍節度。
HCH_012_318_000005	元仍為五寨。
HCH_012_318_000006	後廢，乃置太平路於麗江。
HCH_012_318_000007	洪武元年，征南將軍廖永忠下廣西，左江太平土官黃英衍等遣使賫印詣平章楊璟降。
HCH_012_318_000008	璟還自廣海，帝問黃、岑二氏所轄情形。
HCH_012_318_000009	璟言：「蠻僚頑獷，散則為民，聚則為盜，難以文治，當臨之以兵，彼始畏服。」
HCH_012_318_000010	帝曰：「蠻瑤性習雖殊，然其好生惡死之心，未嘗不同。若撫之以安靖，待之以誠，諭之以理，彼豈有不從化者哉。」
HCH_012_318_000011	遣中書照磨蘭以權賫詔，往諭左、右兩江溪峒官民曰：「朕惟武功以定天下，文德以化遠人，此古先哲王威德並施，遐邇鹹服者也。眷茲兩江，地邊南僥，風俗質樸。自唐、宋以來，黃、岑二氏代居其間，世亂則保境土，世治則修職貢，良由其審時知幾，故能若此。頃者，朕命將南征，八閩克靖，兩廣平定。爾等不煩師旅，奉印來歸，向慕之誠，良足嘉尚。今特遣使往諭，爾其克慎乃心，益懋厥職，宣布朕意，以安居民。」
HCH_012_318_000012	以權至廣西衛，鎮撫彭宗、萬戶劉維善以兵護送。
HCH_012_318_000013	將抵兩江，適來賓洞蠻寇掠楊家寨居民。
HCH_012_318_000014	以權謂彭宗等曰：「奉詔遠來，欲以安民，今見賊不擊，何以庇民？」
HCH_012_318_000015	乃督宗等擊之。
HCH_012_318_000016	賊敗走，遂安輯其地，兩江之民由是懾服。
HCH_012_318_000017	二年，黃英衍遣使奉表貢馬，乃改為太平府。
HCH_012_318_000018	以英衍為知府，世襲。
HCH_012_318_000019	宣德元年，崇善縣土知縣趙暹謀廣地界，遂招納亡叛，攻左州，執故土官，奪其印，殺其母，大肆擄掠，占據村洞四十餘所。
HCH_012_318_000020	造火器，建旗幟，僭稱王，署偽官，流劫州縣。
HCH_012_318_000021	事聞，帝命總兵官顧興祖會廣西三司剿捕。
HCH_012_318_000022	興祖等招之，不服，遣千戶胡廣率兵進。
HCH_012_318_000023	暹扼寨拒守，廣進圍之，紿出所奪各州印，撫諭脅從官民，使復職業。
HCH_012_318_000024	暹計窮，從間道遁。
HCH_012_318_000025	伏兵邀擊，及其黨皆就擒。
HCH_012_318_000026	時左州土官黃榮亦奏：「蠻人李圓英劫掠居民，偽稱官爵，乞發兵剿捕。」
HCH_012_318_000027	帝謂兵部曰：「蠻民愚獷，或挾私仇忿爭戕殺，來告者必欲深致其罪，未可遽信。其令鎮遠侯並廣西三司勘實，先遣人招撫，如叛逆果彰，發兵未晚也。」
HCH_012_318_000028	二年斬南寧百戶許善。
HCH_012_318_000029	初，善知趙暹謀逆，與之交通。
HCH_012_318_000030	及總兵官遣善追暹，又受暹馬十匹、銀百兩，故延緩之，冀幸免。
HCH_012_318_000031	事覺，下御史，鞫問得實，斬之，余黨皆伏誅。
HCH_012_318_000032	太平領州縣以十數。
HCH_012_318_000033	明初，皆以世職授土官，而設流官佐之。
HCH_012_318_000034	太平州，舊名瓠陽，為西原、農峒地。
HCH_012_318_000035	唐為波州，宋隸太平寨，元隸太平路。
HCH_012_318_000036	洪武元年，土官李以忠歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000037	鎮遠州，舊名古隴，宋置，隸邕州。
HCH_012_318_000038	元隸太平路。
HCH_012_318_000039	洪武初，土官趙勝昌歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000040	茗盈州，宋置，隸邕州。
HCH_012_318_000041	元隸太平路。
HCH_012_318_000042	洪武初，土官李鐵釘歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000043	安平州，舊名安山，亦西原、農峒地。
HCH_012_318_000044	唐置波州，宋析為安平州，元隸太平路。
HCH_012_318_000045	洪武初，土官李郭佑歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000046	思同州，舊名永寧，為西原地，唐置，隸邕州。
HCH_012_318_000047	宋隸太平寨。
HCH_012_318_000048	洪武元年，土官黃克嗣歸附，授世襲知州，設流官吏目佐之，屬太平府。
HCH_012_318_000049	萬歷二十八年，省入永康州。
HCH_012_318_000050	養利州，元屬太平路。
HCH_012_318_000051	洪武初，土官趙日泰歸附，授知州，以次傳襲。
HCH_012_318_000052	宣德間，稍侵其鄰境，肆殺掠。
HCH_012_318_000053	萬歷三年討平之，改流官。
HCH_012_318_000054	萬承州，舊名萬陽。
HCH_012_318_000055	唐置萬承、萬形二州。
HCH_012_318_000056	宋省萬形，隸太平寨。
HCH_012_318_000057	元隸太平路。
HCH_012_318_000058	洪武初，土官許郭安歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000059	永樂間，郭安從征交阯，死於軍，子永誠襲。
HCH_012_318_000060	全茗州，舊名連岡，為西原地，宋置，隸邕州。
HCH_012_318_000061	元隸太平路。
HCH_012_318_000062	洪武初，土官李添慶歸附，授世襲知州，設流官吏目佐之。
